Article ID,Reference,MWP technique,Relevance for TC MWP,Classification category,Application axis,Test methodology axis,Data analysis type
P99,"Arepalli, Uma Maheswar and Kottayi, Nivedya Madankara and Mallick, Rajib B (2019)",UT only,High,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization (+ damage),UT through-transmission,Time domain; analytical (closed-form)
P101,"Carret, JC and Di Benedetto, H and Sauzeat, C (2018)",Neither UT nor IRT,High,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,No UT/IRT methodology reported,Domain not reported; method not reported
P103,"Al-Mufti, R.L. and Fried, A.N. (2016)",UT only,Medium,Comparative study (MWP vs conventional),"QC / empirical correlation (strength, density, voids)",UT through-transmission (P-waves),Time domain; analytical (closed-form)
P104,"Kumar, Jyant and Gohil, Ramdev R. (2023)",UT only,Low,MWP + conventional tests (no formal comparison),LVE stiffness / complex modulus characterization,UT (configuration not reported),Domain not reported; method not reported
P105,"McGovern, M.E. and Buttlar, W.G. and Reis, H. (2016)",UT only,Medium,Standalone MWP study,Other / not specified in form,UT surface-wave (P/S-waves),Time + frequency domain; method not reported
P107,"Li, Long and Chen, Jun (2021)",UT only,Medium,Standalone MWP study,Damage / durability monitoring,UT pulse-echo (R-waves),Frequency domain; analytical (closed-form)
P108,"Tavassoti, Pejoohan and Ameen, Taher H and Baaj, Hassan and Cascante, Giovanni (2022)",UT only,High,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,UT through-transmission (P-waves),Time domain; analytical (closed-form)
P111,"Carret, J.-C. and Babadopulos, L. (2025)",IRT only,High,Standalone MWP study,Other / not specified in form,IRT resonance,Domain not reported; method not reported
P113,"Yang, Xiaolong and Huang, Richeng and Meng, Yongjun and Liang, Junlin and Rong, Hongliu and Liu, Yusong and Tan, Shengrui and He, Xinyi and Feng, Yumeng (2024)",Neither UT nor IRT,Low,Standalone MWP study,Other / not specified in form,No UT/IRT methodology reported,Domain not reported; method not reported
P114,"Chan, S and Chen, Si and Gumisiriza, G and Lee, S and Transportation Association of Canada (2023)",UT only,Medium,Comparative study (MWP vs conventional),"QC / empirical correlation (strength, density, voids)",UT through-transmission (P-waves),Time domain; qualitative
